"id";"title";"produced";"length";"premiere";"watchlink";"imdblink";"cover"
"2";"Afrikai vőlegény";"1944";"80";"1944.01.31";"https://m.ok.ru/video/3496484211284";"https://www.imdb.com/title/tt0036587/?ref_=nv_sr_srsg_0_tt_8_nm_0_in_0_q_Afrikai";"afrikaivolegeny.jpg"
"3";"Akit elkap az ár";"1941";"";"1942.01.15";"https://www.hangosfilm.hu/filmografia/akit-elkap-az-ar";"https://www.imdb.com/title/tt0881199/";"akitelkapazar.jpg"
"4";"Alkalom";"1942";"76";"1942.10.26";"https://videa.hu/videok/film-animacio/alkalom-1942-teljes-film-animacio-WkHCCMIU8AJRRhXO";"https://www.imdb.com/title/tt0034447/?ref_=nv_sr_srsg_1_tt_8_nm_0_in_0_q_Alkalom";"alkalom.jpg"
"5";"András";"1941";"";"1941.04.29";"https://videa.hu/videok/film-animacio/andras-film-animacio-aFLbs9IAf0Bp75UV";"https://www.imdb.com/title/tt0033341/?ref_=nv_sr_srsg_1_tt_8_nm_0_in_0_q_Andr%25C3%25A1s";"andras.jpg"
"6";"Annamária";"1942";"84";"1943.02.01";"https://port.hu/adatlap/film/tv/annamaria-annamaria/movie-37490";"https://www.imdb.com/title/tt0034462/?ref_=nv_sr_srsg_0_tt_8_nm_0_in_0_q_Annam%25C3%25A1ria";"annamaria.jpg"
"7";"Az aranyember";"1936";"97";"1936.12.18";"https://videa.hu/videok/film-animacio/az-aranyember-1918-AKiMIKJGGZ2mwHe5";"https://www.imdb.com/title/tt0055758/?ref_=nv_sr_srsg_0_tt_8_nm_0_in_0_q_Az%2520aranyember";"azaranyember.jpg"
"8";"Azurexpress";"1938";"70";"1938.10.14";"https://m.ok.ru/video/4062756014689";"https://www.imdb.com/title/tt0029890/?ref_=nv_sr_srsg_0_tt_8_nm_0_in_0_q_Azurexpress";"azurexpress.jpg"
"9";"Áll a bál";"1939";"97";"1939.09.28";"https://m.ok.ru/video/4330828597857";"https://www.imdb.com/title/tt0128862/?ref_=nv_sr_srsg_0_tt_8_nm_0_in_0_q_%25C3%2581ll%2520a%2520b%25C3%25A1l";"allabal.jpg"
"10";"Álomkeringő";"1942";"86";"1943.02.11";"https://m.ok.ru/video/2599531252310";"https://www.imdb.com/title/tt0035594/?ref_=nv_sr_srsg_0_tt_2_nm_0_in_0_q_%25C3%2581lomkering%25C5%2591";"alomkeringo.jpg"
"11";"Bajtársak";"1942";"79";"1942.12.01";"https://m.ok.ru/video/1607273548306";"https://www.imdb.com/title/tt0244418/?ref_=nv_sr_srsg_1_tt_8_nm_0_in_0_q_Bajt%25C3%25A1rsak";"bajtarsak.jpg"
"12";"Balkezes angyal";"1940";"77";"1941.04.12";"https://m.ok.ru/video/2347147397716";"https://www.imdb.com/title/tt0954320/?ref_=nv_sr_srsg_0_tt_1_nm_0_in_0_q_Balkezes%2520Angyal";"balkezesangyal.jpg"
